concurso,data,numeros,numeros_str,arrecadacao,ganhadores_20,ganhadores_19,ganhadores_18,ganhadores_17,ganhadores_16,ganhadores_0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
655,2004-02-13,"[7, 9, 10, 11, 16, 19, 20, 30, 35, 43, 55, 56, 58, 66, 68, 75, 76, 85, 90, 94]",07-09-10-11-16-19-20-30-35-43-55-56-58-66-68-75-76-85-90-94,10042213,1,25,280,1937,5022,2,7,9,10,11,16,19,20,30,35,43,55,56,58,66,68,75,76,85,90,94
656,2004-02-15,"[7, 13, 14, 20, 26, 29, 48, 55, 59, 61, 62, 65, 66, 68, 73, 74, 77, 83, 92, 95]",07-13-14-20-26-29-48-55-59-61-62-65-66-68-73-74-77-83-92-95,10327867,3,41,171,1995,9569,3,7,13,14,20,26,29,48,55,59,61,62,65,66,68,73,74,77,83,92,95
657,2004-02-17,"[1, 7, 10, 13, 16, 28, 31, 32, 51, 55, 63, 64, 71, 72, 76, 77, 83, 86, 93, 98]",01-07-10-13-16-28-31-32-51-55-63-64-71-72-76-77-83-86-93-98,16170300,3,45,197,777,8678,5,1,7,10,13,16,28,31,32,51,55,63,64,71,72,76,77,83,86,93,98
658,2004-02-20,"[6, 14, 18, 19, 32, 40, 43, 46, 48, 50, 51, 54, 66, 70, 74, 78, 80, 85, 90, 96]",06-14-18-19-32-40-43-46-48-50-51-54-66-70-74-78-80-85-90-96,6191407,2,40,249,1978,6488,10,6,14,18,19,32,40,43,46,48,50,51,54,66,70,74,78,80,85,90,96
659,2004-02-22,"[0, 33, 38, 40, 41, 42, 43, 47, 50, 58, 62, 64, 75, 76, 77, 80, 81, 91, 94, 99]",00-33-38-40-41-42-43-47-50-58-62-64-75-76-77-80-81-91-94-99,7065037,1,29,281,1692,10968,4,0,33,38,40,41,42,43,47,50,58,62,64,75,76,77,80,81,91,94,99
660,2004-02-24,"[2, 4, 13, 21, 22, 27, 28, 33, 39, 43, 45, 51, 53, 60, 62, 66, 79, 91, 92, 97]",02-04-13-21-22-27-28-33-39-43-45-51-53-60-62-66-79-91-92-97,7987569,3,9,81,1453,5733,3,2,4,13,21,22,27,28,33,39,43,45,51,53,60,62,66,79,91,92,97
661,2004-02-26,"[9, 11, 14, 16, 18, 40, 44, 46, 53, 54, 63, 66, 69, 71, 76, 81, 83, 85, 90, 97]",09-11-14-16-18-40-44-46-53-54-63-66-69-71-76-81-83-85-90-97,7692266,2,20,285,523,7730,9,9,11,14,16,18,40,44,46,53,54,63,66,69,71,76,81,83,85,90,97
662,2004-02-29,"[3, 5, 9, 11, 17, 18, 19, 20, 22, 23, 33, 35, 38, 53, 59, 60, 65, 70, 74, 98]",03-05-09-11-17-18-19-20-22-23-33-35-38-53-59-60-65-70-74-98,14137990,3,32,86,1279,10207,10,3,5,9,11,17,18,19,20,22,23,33,35,38,53,59,60,65,70,74,98
663,2004-03-02,"[10, 11, 22, 23, 26, 32, 43, 45, 53, 72, 75, 76, 77, 78, 80, 82, 84, 91, 98, 99]",10-11-22-23-26-32-43-45-53-72-75-76-77-78-80-82-84-91-98-99,16332236,3,36,182,1335,10587,5,10,11,22,23,26,32,43,45,53,72,75,76,77,78,80,82,84,91,98,99
664,2004-03-04,"[9, 12, 17, 19, 24, 29, 34, 40, 41, 43, 45, 49, 54, 59, 71, 76, 82, 84, 87, 88]",09-12-17-19-24-29-34-40-41-43-45-49-54-59-71-76-82-84-87-88,16018276,3,32,232,510,14411,9,9,12,17,19,24,29,34,40,41,43,45,49,54,59,71,76,82,84,87,88
665,2004-03-07,"[1, 2, 10, 13, 15, 28, 31, 32, 33, 38, 39, 41, 65, 69, 76, 78, 80, 81, 83, 90]",01-02-10-13-15-28-31-32-33-38-39-41-65-69-76-78-80-81-83-90,7099516,3,44,105,835,12425,7,1,2,10,13,15,28,31,32,33,38,39,41,65,69,76,78,80,81,83,90
666,2004-03-09,"[5, 8, 12, 22, 26, 27, 37, 44, 47, 59, 62, 71, 72, 73, 79, 82, 84, 87, 90, 91]",05-08-12-22-26-27-37-44-47-59-62-71-72-73-79-82-84-87-90-91,11422296,2,15,108,513,5015,7,5,8,12,22,26,27,37,44,47,59,62,71,72,73,79,82,84,87,90,91
667,2004-03-11,"[1, 5, 11, 14, 17, 18, 21, 28, 33, 36, 60, 61, 69, 74, 75, 76, 80, 89, 90, 94]",01-05-11-14-17-18-21-28-33-36-60-61-69-74-75-76-80-89-90-94,16856562,3,13,170,1618,8594,3,1,5,11,14,17,18,21,28,33,36,60,61,69,74,75,76,80,89,90,94
668,2004-03-14,"[1, 2, 8, 13, 23, 24, 25, 27, 34, 42, 44, 51, 55, 64, 66, 73, 79, 94, 96, 98]",01-02-08-13-23-24-25-27-34-42-44-51-55-64-66-73-79-94-96-98,14162208,3,35,97,1070,13657,7,1,2,8,13,23,24,25,27,34,42,44,51,55,64,66,73,79,94,96,98
669,2004-03-16,"[6, 16, 21, 25, 45, 47, 48, 50, 57, 59, 72, 73, 74, 77, 78, 84, 86, 91, 92, 93]",06-16-21-25-45-47-48-50-57-59-72-73-74-77-78-84-86-91-92-93,18934325,2,5,165,691,12682,5,6,16,21,25,45,47,48,50,57,59,72,73,74,77,78,84,86,91,92,93
670,2004-03-18,"[4, 5, 9, 12, 16, 21, 25, 29, 33, 35, 48, 54, 59, 66, 68, 77, 90, 91, 92, 93]",04-05-09-12-16-21-25-29-33-35-48-54-59-66-68-77-90-91-92-93,13757722,0,28,86,1124,9726,2,4,5,9,12,16,21,25,29,33,35,48,54,59,66,68,77,90,91,92,93
671,2004-03-20,"[5, 6, 23, 24, 25, 27, 35, 36, 37, 51, 52, 62, 65, 69, 76, 78, 80, 87, 89, 92]",05-06-23-24-25-27-35-36-37-51-52-62-65-69-76-78-80-87-89-92,16370188,2,44,237,1062,12270,9,5,6,23,24,25,27,35,36,37,51,52,62,65,69,76,78,80,87,89,92
672,2004-03-23,"[7, 8, 12, 13, 16, 21, 26, 33, 47, 58, 59, 63, 73, 78, 80, 81, 85, 94, 98, 99]",07-08-12-13-16-21-26-33-47-58-59-63-73-78-80-81-85-94-98-99,9641453,0,48,258,1192,10783,8,7,8,12,13,16,21,26,33,47,58,59,63,73,78,80,81,85,94,98,99
673,2004-03-25,"[13, 17, 19, 20, 33, 39, 41, 43, 46, 49, 53, 55, 57, 60, 69, 71, 73, 83, 84, 97]",13-17-19-20-33-39-41-43-46-49-53-55-57-60-69-71-73-83-84-97,9573756,0,7,245,1188,10801,5,13,17,19,20,33,39,41,43,46,49,53,55,57,60,69,71,73,83,84,97
674,2004-03-27,"[2, 8, 11, 16, 21, 33, 40, 41, 64, 65, 70, 76, 79, 82, 85, 86, 87, 97, 98, 99]",02-08-11-16-21-33-40-41-64-65-70-76-79-82-85-86-87-97-98-99,8021440,1,42,260,573,14561,6,2,8,11,16,21,33,40,41,64,65,70,76,79,82,85,86,87,97,98,99
675,2004-03-30,"[1, 2, 5, 12, 21, 32, 40, 47, 50, 51, 54, 57, 61, 68, 71, 80, 81, 85, 88, 94]",01-02-05-12-21-32-40-47-50-51-54-57-61-68-71-80-81-85-88-94,18145470,0,25,135,1601,7175,3,1,2,5,12,21,32,40,47,50,51,54,57,61,68,71,80,81,85,88,94
676,2004-04-01,"[2, 5, 25, 28, 29, 31, 41, 49, 52, 60, 72, 76, 79, 80, 81, 82, 86, 92, 97, 98]",02-05-25-28-29-31-41-49-52-60-72-76-79-80-81-82-86-92-97-98,15042552,1,28,163,847,6358,10,2,5,25,28,29,31,41,49,52,60,72,76,79,80,81,82,86,92,97,98
677,2004-04-03,"[2, 4, 5, 6, 7, 25, 27, 35, 39, 46, 47, 48, 55, 56, 57, 66, 71, 83, 94, 99]",02-04-05-06-07-25-27-35-39-46-47-48-55-56-57-66-71-83-94-99,15142613,1,8,74,1514,12201,3,2,4,5,6,7,25,27,35,39,46,47,48,55,56,57,66,71,83,94,99
678,2004-04-06,"[4, 6, 11, 13, 14, 20, 33, 36, 40, 45, 49, 50, 54, 60, 70, 72, 78, 84, 86, 89]",04-06-11-13-14-20-33-36-40-45-49-50-54-60-70-72-78-84-86-89,13656998,1,22,290,748,8974,9,4,6,11,13,14,20,33,36,40,45,49,50,54,60,70,72,78,84,86,89
679,2004-04-08,"[9, 15, 20, 25, 31, 34, 37, 39, 47, 52, 56, 62, 64, 72, 77, 78, 84, 91, 96, 97]",09-15-20-25-31-34-37-39-47-52-56-62-64-72-77-78-84-91-96-97,7219909,3,19,277,779,11254,10,9,15,20,25,31,34,37,39,47,52,56,62,64,72,77,78,84,91,96,97
680,2004-04-10,"[6, 11, 18, 19, 20, 38, 47, 51, 61, 68, 73, 76, 77, 82, 84, 85, 86, 93, 94, 97]",06-11-18-19-20-38-47-51-61-68-73-76-77-82-84-85-86-93-94-97,13674766,0,30,267,862,6673,6,6,11,18,19,20,38,47,51,61,68,73,76,77,82,84,85,86,93,94,97
681,2004-04-12,"[1, 5, 10, 19, 20, 25, 27, 28, 31, 41, 61, 64, 65, 70, 74, 76, 77, 83, 88, 97]",01-05-10-19-20-25-27-28-31-41-61-64-65-70-74-76-77-83-88-97,13391566,2,10,249,1547,8858,6,1,5,10,19,20,25,27,28,31,41,61,64,65,70,74,76,77,83,88,97
682,2004-04-15,"[2, 13, 17, 20, 21, 27, 32, 44, 47, 52, 53, 56, 57, 64, 71, 74, 75, 78, 85, 93]",02-13-17-20-21-27-32-44-47-52-53-56-57-64-71-74-75-78-85-93,5281675,3,45,274,1929,7228,8,2,13,17,20,21,27,32,44,47,52,53,56,57,64,71,74,75,78,85,93
683,2004-04-17,"[1, 4, 5, 21, 30, 32, 34, 41, 42, 43, 46, 55, 56, 63, 74, 80, 83, 92, 96, 97]",01-04-05-21-30-32-34-41-42-43-46-55-56-63-74-80-83-92-96-97,12759774,1,11,211,1627,9628,3,1,4,5,21,30,32,34,41,42,43,46,55,56,63,74,80,83,92,96,97
684,2004-04-19,"[1, 16, 18, 21, 23, 24, 34, 40, 44, 47, 57, 61, 63, 69, 74, 76, 77, 78, 79, 97]",01-16-18-21-23-24-34-40-44-47-57-61-63-69-74-76-77-78-79-97,18294085,0,48,177,1698,9851,2,1,16,18,21,23,24,34,40,44,47,57,61,63,69,74,76,77,78,79,97
685,2004-04-22,"[0, 3, 9, 14, 19, 37, 38, 46, 51, 57, 60, 61, 64, 76, 79, 83, 85, 87, 92, 96]",00-03-09-14-19-37-38-46-51-57-60-61-64-76-79-83-85-87-92-96,19314059,0,26,164,619,9676,3,0,3,9,14,19,37,38,46,51,57,60,61,64,76,79,83,85,87,92,96
686,2004-04-24,"[2, 7, 11, 14, 18, 31, 36, 39, 41, 55, 66, 70, 75, 79, 82, 83, 84, 89, 92, 94]",02-07-11-14-18-31-36-39-41-55-66-70-75-79-82-83-84-89-92-94,9815055,3,36,123,1299,6673,7,2,7,11,14,18,31,36,39,41,55,66,70,75,79,82,83,84,89,92,94
687,2004-04-26,"[0, 5, 17, 18, 21, 25, 28, 30, 40, 42, 44, 48, 54, 61, 71, 77, 87, 89, 90, 94]",00-05-17-18-21-25-28-30-40-42-44-48-54-61-71-77-87-89-90-94,19836441,0,8,293,1362,10591,5,0,5,17,18,21,25,28,30,40,42,44,48,54,61,71,77,87,89,90,94
688,2004-04-29,"[2, 6, 8, 9, 15, 18, 21, 30, 39, 41, 45, 48, 58, 61, 68, 72, 74, 84, 93, 96]",02-06-08-09-15-18-21-30-39-41-45-48-58-61-68-72-74-84-93-96,12695152,2,24,156,853,6479,9,2,6,8,9,15,18,21,30,39,41,45,48,58,61,68,72,74,84,93,96
689,2004-05-01,"[0, 8, 11, 12, 13, 22, 29, 30, 50, 55, 57, 58, 62, 63, 67, 72, 76, 83, 87, 95]",00-08-11-12-13-22-29-30-50-55-57-58-62-63-67-72-76-83-87-95,19270310,1,9,276,1433,12390,6,0,8,11,12,13,22,29,30,50,55,57,58,62,63,67,72,76,83,87,95
690,2004-05-03,"[11, 12, 14, 16, 20, 23, 28, 34, 35, 43, 49, 57, 63, 68, 71, 72, 73, 82, 84, 96]",11-12-14-16-20-23-28-34-35-43-49-57-63-68-71-72-73-82-84-96,18999729,0,21,113,1887,6836,9,11,12,14,16,20,23,28,34,35,43,49,57,63,68,71,72,73,82,84,96
691,2004-05-05,"[3, 4, 8, 11, 21, 29, 30, 31, 32, 42, 45, 52, 57, 67, 72, 80, 83, 85, 89, 92]",03-04-08-11-21-29-30-31-32-42-45-52-57-67-72-80-83-85-89-92,16279226,1,49,262,1374,13179,6,3,4,8,11,21,29,30,31,32,42,45,52,57,67,72,80,83,85,89,92
692,2004-05-08,"[1, 2, 4, 21, 22, 23, 25, 32, 40, 48, 52, 54, 58, 59, 61, 64, 83, 85, 86, 93]",01-02-04-21-22-23-25-32-40-48-52-54-58-59-61-64-83-85-86-93,17645678,2,36,76,1265,11216,9,1,2,4,21,22,23,25,32,40,48,52,54,58,59,61,64,83,85,86,93
693,2004-05-10,"[2, 4, 8, 12, 30, 31, 32, 37, 39, 40, 50, 52, 54, 55, 57, 69, 73, 87, 93, 97]",02-04-08-12-30-31-32-37-39-40-50-52-54-55-57-69-73-87-93-97,15671520,1,19,182,1080,8854,9,2,4,8,12,30,31,32,37,39,40,50,52,54,55,57,69,73,87,93,97
694,2004-05-12,"[2, 8, 10, 24, 36, 39, 40, 47, 52, 60, 67, 70, 73, 80, 83, 84, 85, 86, 95, 96]",02-08-10-24-36-39-40-47-52-60-67-70-73-80-83-84-85-86-95-96,19074222,2,22,81,1686,11157,6,2,8,10,24,36,39,40,47,52,60,67,70,73,80,83,84,85,86,95,96
695,2004-05-15,"[0, 1, 13, 18, 22, 25, 28, 33, 34, 45, 47, 52, 58, 63, 71, 75, 81, 84, 88, 93]",00-01-13-18-22-25-28-33-34-45-47-52-58-63-71-75-81-84-88-93,14627203,1,16,262,1619,8480,9,0,1,13,18,22,25,28,33,34,45,47,52,58,63,71,75,81,84,88,93
696,2004-05-17,"[0, 23, 26, 28, 33, 40, 44, 46, 48, 50, 57, 62, 66, 67, 81, 89, 93, 94, 95, 96]",00-23-26-28-33-40-44-46-48-50-57-62-66-67-81-89-93-94-95-96,10034879,0,37,145,1195,5788,5,0,23,26,28,33,40,44,46,48,50,57,62,66,67,81,89,93,94,95,96
697,2004-05-19,"[4, 9, 10, 21, 26, 30, 42, 53, 57, 61, 64, 69, 74, 78, 79, 85, 89, 97, 98, 99]",04-09-10-21-26-30-42-53-57-61-64-69-74-78-79-85-89-97-98-99,13099620,2,35,160,1749,6495,2,4,9,10,21,26,30,42,53,57,61,64,69,74,78,79,85,89,97,98,99
698,2004-05-22,"[5, 8, 11, 25, 27, 30, 42, 44, 46, 48, 50, 54, 62, 63, 64, 77, 78, 79, 91, 95]",05-08-11-25-27-30-42-44-46-48-50-54-62-63-64-77-78-79-91-95,14082772,3,18,132,1539,8269,6,5,8,11,25,27,30,42,44,46,48,50,54,62,63,64,77,78,79,91,95
699,2004-05-24,"[1, 5, 8, 15, 18, 23, 33, 37, 42, 51, 56, 59, 63, 77, 82, 84, 85, 88, 91, 93]",01-05-08-15-18-23-33-37-42-51-56-59-63-77-82-84-85-88-91-93,7041523,2,11,146,1897,10170,6,1,5,8,15,18,23,33,37,42,51,56,59,63,77,82,84,85,88,91,93
700,2004-05-26,"[1, 3, 4, 9, 22, 29, 34, 36, 44, 45, 48, 49, 54, 61, 74, 77, 82, 87, 89, 95]",01-03-04-09-22-29-34-36-44-45-48-49-54-61-74-77-82-87-89-95,17761093,1,45,77,1740,12417,2,1,3,4,9,22,29,34,36,44,45,48,49,54,61,74,77,82,87,89,95
701,2004-05-28,"[2, 15, 16, 21, 22, 24, 27, 31, 35, 52, 56, 57, 58, 59, 61, 73, 78, 80, 82, 91]",02-15-16-21-22-24-27-31-35-52-56-57-58-59-61-73-78-80-82-91,18799065,2,20,118,1703,14737,10,2,15,16,21,22,24,27,31,35,52,56,57,58,59,61,73,78,80,82,91
702,2004-05-31,"[0, 2, 3, 14, 15, 16, 29, 33, 38, 43, 44, 58, 72, 74, 82, 84, 88, 92, 96, 99]",00-02-03-14-15-16-29-33-38-43-44-58-72-74-82-84-88-92-96-99,15155487,1,48,211,1909,12609,8,0,2,3,14,15,16,29,33,38,43,44,58,72,74,82,84,88,92,96,99
703,2004-06-02,"[2, 7, 16, 20, 25, 39, 42, 45, 47, 50, 53, 57, 60, 78, 82, 84, 87, 88, 98, 99]",02-07-16-20-25-39-42-45-47-50-53-57-60-78-82-84-87-88-98-99,10027682,1,36,178,682,7722,2,2,7,16,20,25,39,42,45,47,50,53,57,60,78,82,84,87,88,98,99
704,2004-06-04,"[1, 4, 10, 19, 20, 25, 31, 32, 39, 41, 52, 64, 66, 67, 71, 79, 87, 90, 96, 98]",01-04-10-19-20-25-31-32-39-41-52-64-66-67-71-79-87-90-96-98,10689726,1,35,248,1625,8044,5,1,4,10,19,20,25,31,32,39,41,52,64,66,67,71,79,87,90,96,98
705,2004-06-07,"[8, 10, 14, 16, 18, 19, 22, 26, 43, 47, 50, 56, 57, 59, 66, 70, 74, 77, 78, 87]",08-10-14-16-18-19-22-26-43-47-50-56-57-59-66-70-74-77-78-87,11346597,3,34,279,1438,14652,8,8,10,14,16,18,19,22,26,43,47,50,56,57,59,66,70,74,77,78,87
706,2004-06-09,"[2, 9, 28, 31, 35, 39, 48, 50, 51, 56, 60, 66, 67, 78, 80, 81, 87, 92, 94, 98]",02-09-28-31-35-39-48-50-51-56-60-66-67-78-80-81-87-92-94-98,16473584,1,5,112,516,8463,4,2,9,28,31,35,39,48,50,51,56,60,66,67,78,80,81,87,92,94,98
707,2004-06-11,"[2, 4, 7, 12, 15, 31, 35, 38, 48, 62, 63, 74, 80, 81, 82, 84, 85, 89, 92, 96]",02-04-07-12-15-31-35-38-48-62-63-74-80-81-82-84-85-89-92-96,15934453,3,28,152,1869,9700,10,2,4,7,12,15,31,35,38,48,62,63,74,80,81,82,84,85,89,92,96
708,2004-06-14,"[1, 5, 12, 30, 33, 39, 46, 50, 57, 59, 63, 70, 71, 73, 77, 80, 85, 91, 94, 96]",01-05-12-30-33-39-46-50-57-59-63-70-71-73-77-80-85-91-94-96,5880533,3,36,214,943,14223,5,1,5,12,30,33,39,46,50,57,59,63,70,71,73,77,80,85,91,94,96
709,2004-06-16,"[1, 4, 11, 12, 15, 17, 26, 28, 36, 37, 38, 50, 65, 79, 80, 81, 87, 90, 93, 98]",01-04-11-12-15-17-26-28-36-37-38-50-65-79-80-81-87-90-93-98,15462361,0,42,185,1958,13761,7,1,4,11,12,15,17,26,28,36,37,38,50,65,79,80,81,87,90,93,98
710,2004-06-18,"[1, 2, 4, 6, 12, 13, 18, 19, 26, 45, 57, 62, 67, 77, 78, 84, 87, 88, 93, 99]",01-02-04-06-12-13-18-19-26-45-57-62-67-77-78-84-87-88-93-99,13755422,1,20,228,1677,5266,3,1,2,4,6,12,13,18,19,26,45,57,62,67,77,78,84,87,88,93,99
711,2004-06-20,"[10, 16, 17, 19, 20, 26, 28, 30, 33, 36, 43, 57, 59, 62, 74, 76, 77, 78, 84, 96]",10-16-17-19-20-26-28-30-33-36-43-57-59-62-74-76-77-78-84-96,9118804,2,30,148,1654,13415,10,10,16,17,19,20,26,28,30,33,36,43,57,59,62,74,76,77,78,84,96
712,2004-06-23,"[0, 1, 20, 22, 25, 27, 29, 35, 53, 59, 61, 62, 63, 73, 75, 78, 84, 86, 89, 91]",00-01-20-22-25-27-29-35-53-59-61-62-63-73-75-78-84-86-89-91,14557016,3,29,156,1123,6687,6,0,1,20,22,25,27,29,35,53,59,61,62,63,73,75,78,84,86,89,91
713,2004-06-25,"[2, 8, 22, 24, 33, 42, 43, 44, 46, 60, 64, 65, 72, 76, 79, 84, 86, 87, 88, 89]",02-08-22-24-33-42-43-44-46-60-64-65-72-76-79-84-86-87-88-89,16434790,0,7,127,831,8690,6,2,8,22,24,33,42,43,44,46,60,64,65,72,76,79,84,86,87,88,89
714,2004-06-27,"[4, 8, 14, 17, 18, 19, 22, 24, 26, 28, 29, 30, 34, 36, 61, 64, 66, 67, 91, 97]",04-08-14-17-18-19-22-24-26-28-29-30-34-36-61-64-66-67-91-97,10481387,2,10,50,1837,13401,5,4,8,14,17,18,19,22,24,26,28,29,30,34,36,61,64,66,67,91,97
715,2004-06-30,"[3, 5, 6, 8, 10, 11, 20, 23, 27, 36, 44, 48, 56, 59, 62, 78, 79, 85, 90, 94]",03-05-06-08-10-11-20-23-27-36-44-48-56-59-62-78-79-85-90-94,13974661,0,14,253,798,5773,4,3,5,6,8,10,11,20,23,27,36,44,48,56,59,62,78,79,85,90,94
716,2004-07-02,"[1, 5, 11, 20, 27, 36, 37, 46, 51, 58, 59, 60, 68, 73, 74, 81, 82, 84, 85, 94]",01-05-11-20-27-36-37-46-51-58-59-60-68-73-74-81-82-84-85-94,19665246,1,50,101,1229,9014,2,1,5,11,20,27,36,37,46,51,58,59,60,68,73,74,81,82,84,85,94
717,2004-07-04,"[14, 19, 21, 27, 29, 35, 36, 38, 42, 43, 44, 56, 58, 59, 65, 67, 75, 78, 88, 96]",14-19-21-27-29-35-36-38-42-43-44-56-58-59-65-67-75-78-88-96,11195426,2,35,221,1082,6915,2,14,19,21,27,29,35,36,38,42,43,44,56,58,59,65,67,75,78,88,96
718,2004-07-07,"[6, 8, 9, 11, 16, 25, 28, 37, 38, 47, 48, 54, 59, 65, 71, 74, 79, 80, 82, 99]",06-08-09-11-16-25-28-37-38-47-48-54-59-65-71-74-79-80-82-99,8152681,3,43,213,639,7697,2,6,8,9,11,16,25,28,37,38,47,48,54,59,65,71,74,79,80,82,99
719,2004-07-09,"[2, 13, 23, 28, 41, 43, 51, 54, 55, 62, 66, 76, 78, 81, 86, 91, 95, 97, 98, 99]",02-13-23-28-41-43-51-54-55-62-66-76-78-81-86-91-95-97-98-99,12933975,3,49,109,1110,7976,9,2,13,23,28,41,43,51,54,55,62,66,76,78,81,86,91,95,97,98,99
720,2004-07-11,"[13, 14, 21, 24, 25, 31, 34, 37, 38, 39, 43, 44, 48, 60, 61, 64, 68, 83, 85, 95]",13-14-21-24-25-31-34-37-38-39-43-44-48-60-61-64-68-83-85-95,12339758,0,18,249,1401,11991,4,13,14,21,24,25,31,34,37,38,39,43,44,48,60,61,64,68,83,85,95
721,2004-07-13,"[4, 10, 22, 24, 27, 29, 37, 39, 40, 51, 56, 57, 58, 62, 71, 76, 79, 89, 91, 94]",04-10-22-24-27-29-37-39-40-51-56-57-58-62-71-76-79-89-91-94,5431553,0,10,152,1091,9902,6,4,10,22,24,27,29,37,39,40,51,56,57,58,62,71,76,79,89,91,94
722,2004-07-16,"[1, 3, 11, 15, 19, 25, 32, 34, 48, 52, 53, 67, 69, 74, 75, 76, 83, 84, 88, 91]",01-03-11-15-19-25-32-34-48-52-53-67-69-74-75-76-83-84-88-91,13060850,3,48,69,806,13044,2,1,3,11,15,19,25,32,34,48,52,53,67,69,74,75,76,83,84,88,91
723,2004-07-18,"[1, 12, 15, 22, 23, 33, 35, 47, 57, 65, 69, 75, 76, 77, 79, 80, 81, 92, 93, 95]",01-12-15-22-23-33-35-47-57-65-69-75-76-77-79-80-81-92-93-95,10805608,3,31,151,1575,7476,5,1,12,15,22,23,33,35,47,57,65,69,75,76,77,79,80,81,92,93,95
724,2004-07-20,"[1, 3, 4, 7, 11, 20, 24, 34, 35, 39, 44, 45, 47, 54, 68, 71, 75, 93, 96, 99]",01-03-04-07-11-20-24-34-35-39-44-45-47-54-68-71-75-93-96-99,13370458,0,23,267,1188,13796,7,1,3,4,7,11,20,24,34,35,39,44,45,47,54,68,71,75,93,96,99
725,2004-07-23,"[4, 6, 16, 26, 27, 39, 42, 46, 49, 55, 62, 66, 73, 75, 76, 78, 79, 86, 89, 96]",04-06-16-26-27-39-42-46-49-55-62-66-73-75-76-78-79-86-89-96,13840624,1,26,232,924,8688,4,4,6,16,26,27,39,42,46,49,55,62,66,73,75,76,78,79,86,89,96
726,2004-07-25,"[3, 18, 26, 31, 35, 36, 39, 42, 43, 51, 53, 56, 71, 74, 82, 86, 89, 93, 94, 97]",03-18-26-31-35-36-39-42-43-51-53-56-71-74-82-86-89-93-94-97,17203010,0,50,98,907,14800,7,3,18,26,31,35,36,39,42,43,51,53,56,71,74,82,86,89,93,94,97
727,2004-07-27,"[7, 10, 16, 18, 27, 29, 32, 33, 37, 42, 47, 55, 57, 62, 74, 82, 83, 85, 93, 97]",07-10-16-18-27-29-32-33-37-42-47-55-57-62-74-82-83-85-93-97,18242947,0,49,298,829,12748,3,7,10,16,18,27,29,32,33,37,42,47,55,57,62,74,82,83,85,93,97
728,2004-07-30,"[1, 2, 7, 8, 9, 10, 12, 31, 46, 47, 53, 57, 61, 76, 79, 80, 85, 88, 93, 95]",01-02-07-08-09-10-12-31-46-47-53-57-61-76-79-80-85-88-93-95,15193325,1,9,247,1139,7142,4,1,2,7,8,9,10,12,31,46,47,53,57,61,76,79,80,85,88,93,95
729,2004-08-01,"[1, 10, 13, 23, 25, 26, 29, 32, 33, 34, 41, 43, 49, 51, 69, 70, 72, 73, 81, 90]",01-10-13-23-25-26-29-32-33-34-41-43-49-51-69-70-72-73-81-90,18765224,2,21,257,1977,9973,5,1,10,13,23,25,26,29,32,33,34,41,43,49,51,69,70,72,73,81,90
730,2004-08-03,"[5, 8, 12, 14, 16, 19, 31, 34, 39, 50, 57, 63, 64, 74, 79, 80, 81, 90, 94, 97]",05-08-12-14-16-19-31-34-39-50-57-63-64-74-79-80-81-90-94-97,14312321,1,8,202,1242,13523,4,5,8,12,14,16,19,31,34,39,50,57,63,64,74,79,80,81,90,94,97
731,2004-08-05,"[1, 2, 11, 14, 17, 26, 33, 37, 46, 53, 54, 62, 64, 68, 76, 78, 80, 82, 90, 95]",01-02-11-14-17-26-33-37-46-53-54-62-64-68-76-78-80-82-90-95,18359324,0,41,101,1511,5930,6,1,2,11,14,17,26,33,37,46,53,54,62,64,68,76,78,80,82,90,95
732,2004-08-08,"[2, 14, 17, 19, 22, 23, 25, 30, 38, 43, 55, 56, 59, 61, 66, 73, 81, 90, 91, 96]",02-14-17-19-22-23-25-30-38-43-55-56-59-61-66-73-81-90-91-96,7620821,3,43,73,595,5020,5,2,14,17,19,22,23,25,30,38,43,55,56,59,61,66,73,81,90,91,96
733,2004-08-10,"[1, 9, 19, 26, 27, 32, 35, 36, 38, 40, 45, 50, 51, 61, 83, 85, 91, 93, 97, 99]",01-09-19-26-27-32-35-36-38-40-45-50-51-61-83-85-91-93-97-99,8105771,0,29,247,1725,13435,4,1,9,19,26,27,32,35,36,38,40,45,50,51,61,83,85,91,93,97,99
734,2004-08-12,"[2, 6, 7, 10, 12, 15, 29, 31, 36, 37, 39, 54, 60, 64, 75, 78, 88, 89, 92, 97]",02-06-07-10-12-15-29-31-36-37-39-54-60-64-75-78-88-89-92-97,7657851,3,37,165,1618,12946,6,2,6,7,10,12,15,29,31,36,37,39,54,60,64,75,78,88,89,92,97
735,2004-08-15,"[1, 7, 13, 14, 33, 39, 42, 43, 44, 53, 59, 63, 66, 71, 78, 79, 81, 84, 94, 98]",01-07-13-14-33-39-42-43-44-53-59-63-66-71-78-79-81-84-94-98,8609893,1,17,59,1609,5893,5,1,7,13,14,33,39,42,43,44,53,59,63,66,71,78,79,81,84,94,98
736,2004-08-17,"[2, 5, 9, 14, 25, 28, 36, 47, 50, 51, 53, 54, 58, 60, 67, 68, 72, 91, 93, 97]",02-05-09-14-25-28-36-47-50-51-53-54-58-60-67-68-72-91-93-97,9601843,0,50,140,1452,5925,8,2,5,9,14,25,28,36,47,50,51,53,54,58,60,67,68,72,91,93,97
